60,40,20,2026-08-12 16:14:32
60,40,20,2026-08-12 16:17:29
60,40,20,2026-08-12 16:20:16
60,27,33,2026-08-12 16:20:51
60,27,33,2026-08-12 16:20:54
60,29,31,2026-08-12 16:20:58
60,30,30,2026-08-12 16:21:04
60,26,34,2026-08-12 16:21:10
60,29,31,2026-08-12 16:21:14
60,29,31,2026-08-12 16:21:18
60,32,28,2026-08-12 16:21:21
60,31,29,2026-08-12 16:21:25
60,29,31,2026-08-12 16:21:28
60,28,32,2026-08-12 16:21:32
60,32,28,2026-08-12 16:21:36
60,30,30,2026-08-12 16:21:39
60,30,30,2026-08-12 16:21:43
60,27,33,2026-08-12 16:21:47
60,26,34,2026-08-12 16:21:52
60,27,33,2026-08-12 16:21:56
60,28,32,2026-08-12 16:21:59
60,30,30,2026-08-12 16:22:03
60,29,31,2026-08-12 16:22:07
60,29,31,2026-08-12 16:22:13
60,28,32,2026-08-12 16:22:18
60,31,29,2026-08-12 16:22:23
60,31,29,2026-08-12 16:22:28
60,31,29,2026-08-12 16:22:33
60,32,28,2026-08-12 16:22:38
60,30,30,2026-08-12 16:22:43
60,33,27,2026-08-12 16:22:48
60,27,33,2026-08-12 16:22:56
60,27,33,2026-08-12 16:23:02
60,29,31,2026-08-12 16:23:07
60,30,30,2026-08-12 16:23:13
60,26,34,2026-08-12 16:23:18
60,29,31,2026-08-12 16:23:23
60,29,31,2026-08-12 16:23:28
60,32,28,2026-08-12 16:23:34
60,31,29,2026-08-12 16:23:38
60,29,31,2026-08-12 16:23:42
60,28,32,2026-08-12 16:23:45
60,32,28,2026-08-12 16:23:48
60,30,30,2026-08-12 16:23:52
60,30,30,2026-08-12 16:23:55
60,27,33,2026-08-12 16:23:59
60,26,34,2026-08-12 16:24:03
60,27,33,2026-08-12 16:24:08
60,28,32,2026-08-12 16:24:13
